,ngram,count
842,PUNCT ADP PRON,73973
843,ADP PROPN SPACE,5305
844,PROPN SPACE PROPN,16221
845,SPACE PROPN ADV,279
846,VERB VERB SPACE,71
847,NOUN SPACE VERB,82
848,NOUN CCONJ SPACE,47
849,X X X,798
850,X NOUN _,5
851,NOUN DET ADJ,14984
852,NOUN ADV NOUN,6103
853,ADJ ADJ PUNCT,6708
854,CCONJ ADP VERB,9256
855,NOUN X _,16
856,X _ _,179
857,NOUN SPACE DET,47
858,SPACE DET ADJ,1194
859,NOUN CCONJ PUNCT,19318
860,CCONJ PUNCT NUM,128
861,SPACE CCONJ NOUN,26
862,CCONJ NOUN SPACE,33
863,DET ADP ADJ,3689
864,ADP X NOUN,225
865,X NOUN PUNCT,968
866,SPACE ADV VERB,119
867,ADV VERB X,51
868,VERB X PROPN,13
869,X PROPN ADP,81
870,PROPN ADP PRON,8665
871,PUNCT ADP PUNCT,17522
872,ADP PUNCT NOUN,11150
873,ADP SPACE ADP,166
