setup,hidden,learning_rate,batch_size,train_percentage,epoch,nlt_tp,nlt_fp,nlt_tn,nlt_fn,eval_accuracy,eval_accuracy_2,precision,recall,f1-score
NLLoss,16,0.0001,8,100%,7,567,263,651,890,0.9505297419,,0.6831325301,0.3891557996,0.4958460866
NLLoss,64,0.0001,2,100%,6,574,266,648,883,0.9505297419,,0.6833333333,0.3939601922,0.4997823248
BCEwithLL,64,0.0001,1,100%,9,571,259,655,886,0.9505297419,95.05,0.6879518072,0.3919011668,0.4993441189
NLLoss,128,0.0001,2,100%,9,531,236,678,926,0.9505297419,95.05,0.6923076923,0.3644474949,0.4775179856
NLLoss,256,0.0001,16,100%,5,660,310,604,797,0.9505297419,,0.6804123711,0.4529855868,0.543881335
BCEwithLL,8,0.001,8,100%,4,514,236,678,943,0.9505297419,,0.6853333333,0.3527796843,0.4657906661
BCEwithLL,8,0.0001,2,100%,3,671,321,593,786,0.9505297419,,0.6764112903,0.4605353466,0.5479787668
BCEwithLL,16,0.001,2,100%,6,496,220,694,961,0.9505131356,,0.6927374302,0.3404255319,0.4565117349
BCEwithLL,64,0.0001,8,100%,8,579,273,641,878,0.9505131356,,0.6795774648,0.3973919012,0.5015158077
BCEwithLL,32,0.0001,2,100%,4,618,288,626,839,0.9505131356,,0.6821192053,0.4241592313,0.5230639018
NLLoss,16,0.0001,4,100%,2,623,296,618,834,0.9505131356,,0.6779107726,0.4275909403,0.5244107744
NLLoss,16,0.0001,4,100%,8,527,236,678,930,0.9505131356,,0.6906946265,0.3617021277,0.4747747748
NLLoss,64,0.0001,4,100%,8,548,247,667,909,0.9505131356,,0.6893081761,0.3761153054,0.486678508
NLLoss,32,0.0001,16,100%,4,639,303,611,818,0.9505131356,,0.678343949,0.4385724091,0.5327219675
NLLoss,128,0.0001,32,100%,9,593,266,648,864,0.9505131356,95.05,0.6903376019,0.4070006863,0.51208981
